[0, 1, 3, 4, 5, 6]___55.0
[0, 1, 3, 4, 6, 5]___55.0
[0, 1, 3, 5, 4, 6]___73.0
[0, 1, 3, 5, 6, 4]___73.0
[0, 1, 3, 6, 4, 5]___73.0
[0, 1, 3, 6, 5, 4]___73.0
[0, 1, 4, 3, 5, 6]___73.0
[0, 1, 4, 3, 6, 5]___73.0
[0, 1, 4, 5, 3, 6]___73.0
[0, 1, 4, 5, 6, 3]___73.0
[0, 1, 4, 6, 3, 5]___73.0
[0, 1, 4, 6, 5, 3]___73.0
[0, 1, 5, 3, 4, 6]___73.0
[0, 1, 5, 3, 6, 4]___73.0
[0, 1, 5, 4, 3, 6]___73.0
[0, 1, 5, 4, 6, 3]___73.0
[0, 1, 5, 6, 3, 4]___73.0
[0, 1, 5, 6, 4, 3]___73.0
[0, 1, 6, 3, 4, 5]___73.0
[0, 1, 6, 3, 5, 4]___73.0
[0, 1, 6, 4, 3, 5]___73.0
[0, 1, 6, 4, 5, 3]___73.0
[0, 1, 6, 5, 3, 4]___73.0
[0, 1, 6, 5, 4, 3]___73.0
[0, 2, 1, 3, 4, 5, 6]___98.0
[0, 2, 1, 3, 4, 6, 5]___98.0
[0, 2, 1, 3, 5, 4, 6]___98.0
[0, 2, 1, 3, 5, 6, 4]___98.0
[0, 2, 1, 3, 6, 4, 5]___98.0
[0, 2, 1, 3, 6, 5, 4]___98.0
[0, 2, 1, 4, 3, 5, 6]___98.0
[0, 2, 1, 4, 3, 6, 5]___98.0
[0, 2, 1, 4, 5, 3, 6]___98.0
[0, 2, 1, 4, 5, 6, 3]___98.0
[0, 2, 1, 4, 6, 3, 5]___98.0
[0, 2, 1, 4, 6, 5, 3]___98.0
[0, 2, 1, 5, 3, 4, 6]___98.0
[0, 2, 1, 5, 3, 6, 4]___98.0
[0, 2, 1, 5, 4, 3, 6]___98.0
[0, 2, 1, 5, 4, 6, 3]___98.0
[0, 2, 1, 5, 6, 3, 4]___98.0
[0, 2, 1, 5, 6, 4, 3]___98.0
[0, 2, 1, 6, 3, 4, 5]___98.0
[0, 2, 1, 6, 3, 5, 4]___98.0
[0, 2, 1, 6, 4, 3, 5]___98.0
[0, 2, 1, 6, 4, 5, 3]___98.0
[0, 2, 1, 6, 5, 3, 4]___98.0
[0, 2, 1, 6, 5, 4, 3]___98.0
